City,Season,Trip_Days,Flight_Type,Distance_km,Hotel_Class,Daily_Hotel_Cost,Daily_Food_Cost,Transport_Mode,Daily_Transport_Cost,Activities_Count,Shopping_Cost,Total_Trip_Cost,Cost_Category
Kuala Lumpur,Holiday,2,Premium Economy,5699.2,Standard,1189.87,404.08,Private Car,1422.59,3,3160.2,36842.9,Mid-range
Dubai,Off-Season,10,First,8757.0,Standard,839.05,1125.0,Taxi,892.62,7,4950.41,195023.4,Luxury
Goa,Peak,9,Premium Economy,4817.4,Premium,3454.89,1577.01,Private Car,795.71,7,18980.12,212272.27,Luxury
Istanbul,Off-Season,11,Premium Economy,1724.1,Standard,4702.75,268.51,Public,143.24,0,20958.02,45283.24,Mid-range
Istanbul,Peak,18,First,11228.9,Luxury,1066.95,1319.25,Private Car,467.97,7,16322.91,438365.35,Luxury
Dubai,Holiday,5,Economy,2207.2,Budget,5070.86,508.11,Public,1430.41,4,4183.65,65046.42,Mid-range
Goa,Winter,20,Economy,1506.9,Standard,7466.47,1534.65,Taxi,683.43,4,8399.79,252425.45,Luxury
Goa,Holiday,17,Business,2270.5,Luxury,3997.49,1148.39,Taxi,160.03,5,10197.5,475563.44,Luxury
London,Peak,2,Economy,2056.4,Premium,5299.82,1932.43,Public,82.15,7,7049.58,124706.96,Luxury
Kuala Lumpur,Peak,18,Premium Economy,10286.9,Standard,1747.68,952.71,Public,905.92,6,5833.24,150231.86,Luxury
Bangkok,Monsoon,3,Business,2865.7,Premium,3231.15,751.2,Public,606.89,4,13375.89,64209.04,Mid-range
Goa,Off-Season,8,Premium Economy,75.4,Premium,7371.33,1504.36,Rideshare,657.75,5,21779.4,155025.34,Luxury
London,Monsoon,20,Economy,115.4,Luxury,7967.42,903.93,Rideshare,74.26,10,20052.54,509669.46,Luxury
London,Holiday,9,Economy,1183.8,Budget,4713.22,1405.36,Public,1010.38,8,21071.05,165080.99,Luxury
Dubai,Holiday,7,Business,1482.1,Standard,3989.7,417.62,Private Car,257.88,5,3681.59,152205.13,Luxury
Goa,Peak,17,Premium Economy,879.2,Standard,6246.06,404.36,Rideshare,1383.79,6,23862.55,284217.69,Luxury
Goa,Monsoon,3,Economy,2180.3,Budget,7641.62,442.32,Private Car,1006.56,4,1065.33,21064.06,Budget
London,Monsoon,10,Economy,5034.6,Budget,6603.83,1565.75,Public,1489.81,4,13830.36,145353.68,Luxury
Istanbul,Holiday,2,First,2860.3,Standard,3901.78,1777.67,Taxi,993.52,9,23301.15,127414.55,Luxury
Dubai,Winter,9,First,2808.9,Premium,1846.48,659.23,Private Car,1311.09,1,2894.41,225226.1,Luxury
Bangkok,Holiday,3,Economy,11584.5,Premium,4117.17,554.78,Rideshare,439.34,0,8952.72,59250.12,Mid-range
Bangkok,Winter,20,Business,11190.0,Standard,5671.42,1381.2,Public,1000.59,7,23460.63,390578.55,Luxury
Goa,Monsoon,1,First,8932.2,Luxury,6675.41,1478.51,Public,401.79,9,8999.48,127040.05,Luxury
Istanbul,Peak,12,Business,9913.2,Premium,5225.09,1044.8,Taxi,213.84,2,22175.87,263264.01,Luxury
London,Winter,10,Business,2671.9,Premium,7208.94,466.09,Rideshare,1287.79,3,659.5,457558.54,Luxury
Goa,Peak,10,Premium Economy,6703.8,Luxury,7992.54,1064.24,Rideshare,516.86,2,14270.24,408370.96,Luxury
Dubai,Winter,19,First,3276.7,Budget,4525.32,1907.96,Private Car,662.52,0,22706.39,556154.75,Luxury
Bangkok,Monsoon,13,Premium Economy,6819.1,Premium,5543.7,962.05,Taxi,1334.45,7,13673.28,169274.85,Luxury
Bangkok,Off-Season,15,Premium Economy,5490.5,Budget,1307.24,1148.12,Public,674.6,9,3370.5,66164.72,Mid-range
,,14,,7570.8,,,1959.65,Public,701.48,11,,355384.1,Luxury
London,Monsoon,14,Economy,7262.0,Standard,3315.53,1564.96,Public,568.82,10,1944.06,140077.45,Luxury
,,17,,9086.8,,,1472.72,Taxi,948.97,10,,116624.76,Luxury
